Total I/Os per Second ,Total MBs per Second ,Average I/O Response Time (ms) ,Maximum I/O Response Time (ms) ,% CPU Utilization (total) ,Total Error Count ,
0.00,0.00,0.0000,0.0000,0.00 %,0,
13944.37,1743.05,9.1203,23.9077,2.76 %,0,
13968.30,1746.04,9.1698,24.7639,11.00 %,0,
13763.53,1720.44,9.2863,27.7425,3.29 %,0,
13653.33,1706.67,9.3796,22.3922,2.39 %,0,
13454.23,1681.78,9.5185,24.9864,1.46 %,0,
13431.71,1678.96,9.5289,29.8901,2.79 %,0,
13328.56,1666.07,9.6045,21.9361,2.44 %,0,
13179.19,1647.40,9.6983,24.1816,1.53 %,0,
13007.40,1625.93,9.8403,26.0364,2.83 %,0,
12806.09,1600.76,10.0060,26.3600,0.96 %,0,
12628.49,1578.56,10.1347,29.4973,1.70 %,0,
12482.09,1560.26,10.2554,27.7107,2.05 %,0,
12308.26,1538.53,10.3781,25.9122,1.32 %,0,
12039.84,1504.98,10.6445,26.2014,2.45 %,0,
11877.33,1484.67,10.7714,35.8353,2.13 %,0,
11669.29,1458.66,10.9714,24.9954,1.89 %,0,
11457.66,1432.21,11.1730,27.0843,2.23 %,0,
11155.86,1394.48,11.4762,31.5689,1.66 %,0,
10677.60,1334.70,11.9717,30.7288,1.71 %,0,
10151.50,1268.94,12.6224,33.2731,2.22 %,0,
9823.50,1227.94,13.0241,31.7263,1.80 %,0,
9471.27,1183.91,13.5105,38.4633,2.03 %,0,
9227.80,1153.48,13.8541,36.4914,1.85 %,0,
8990.76,1123.84,14.2278,36.7041,2.69 %,0,
8707.15,1088.39,14.7021,40.5177,2.43 %,0,
8460.98,1057.62,15.1285,37.1059,1.17 %,0,
8198.74,1024.84,15.6127,39.5382,1.91 %,0,
7737.73,967.22,16.5437,39.1072,1.77 %,0,
7507.67,938.46,17.0474,44.8790,2.13 %,0,
7564.19,945.52,16.9158,42.7970,1.39 %,0,
7497.53,937.19,17.0531,41.4782,1.40 %,0,
7293.48,911.68,17.5619,49.2907,2.33 %,0,
7378.42,922.30,17.3096,41.0426,2.55 %,0,
7380.18,922.52,17.3706,46.9641,1.61 %,0,
7220.92,902.61,17.7018,40.8354,1.05 %,0,
7147.96,893.50,17.9439,41.8089,4.26 %,0,
7363.95,920.49,17.3677,46.6032,2.82 %,0,
7369.43,921.18,17.3613,43.6798,1.74 %,0,
7382.45,922.81,17.3387,48.3473,1.04 %,0,
7573.61,946.70,16.9247,42.8545,2.66 %,0,
7411.57,926.45,17.2766,43.9550,1.50 %,0,
7650.43,956.30,16.6899,43.2989,1.15 %,0,
7878.61,984.83,16.2860,42.8261,2.70 %,0,
8156.14,1019.52,15.6983,42.5556,2.09 %,0,
8474.23,1059.28,15.0769,43.0317,2.12 %,0,
8632.84,1079.11,14.8616,38.0846,2.15 %,0,
8648.29,1081.04,14.8097,35.9657,2.53 %,0,
9001.20,1125.15,14.2030,40.0713,1.45 %,0,
9456.27,1182.03,13.5500,36.2421,3.25 %,0,
9608.92,1201.11,13.3199,29.1532,3.26 %,0,
9877.78,1234.72,12.9381,28.4647,3.69 %,0,
10130.84,1266.35,12.6571,33.8072,2.06 %,0,
10561.06,1320.13,12.1245,29.0265,0.78 %,0,
10616.57,1327.07,12.0527,29.0219,3.01 %,0,
11100.84,1387.61,11.5324,27.6263,2.46 %,0,
10916.50,1364.56,11.7367,26.0880,2.23 %,0,
11375.49,1421.94,11.2558,31.1476,1.04 %,0,
11369.06,1421.13,11.2491,24.8147,0.95 %,0,
11497.76,1437.22,11.1349,29.4848,2.01 %,0,
11654.40,1456.80,10.9896,31.3977,1.46 %,0,
11802.14,1475.27,10.8374,27.6751,1.71 %,0,
11901.87,1487.73,10.7552,25.0815,2.17 %,0,
11999.41,1499.93,10.6733,30.9427,2.14 %,0,
12032.04,1504.00,10.6315,26.8736,1.98 %,0,
12222.89,1527.86,10.4609,25.5987,0.98 %,0,
12236.92,1529.61,10.4796,27.6616,2.24 %,0,
12146.51,1518.31,10.5339,26.0913,2.90 %,0,
12340.65,1542.58,10.3696,21.4509,2.62 %,0,
12034.44,1504.31,10.6380,25.0041,1.85 %,0,
12096.58,1512.07,10.5678,29.4472,2.99 %,0,
12288.90,1536.11,10.4272,28.7493,2.17 %,0,
12129.92,1516.24,10.5449,25.2641,2.44 %,0,
11918.88,1489.86,10.7472,31.5501,3.83 %,0,
11925.10,1490.64,10.7366,26.7262,1.76 %,0,
11890.75,1486.34,10.7581,26.5891,2.19 %,0,
11704.25,1463.03,10.9262,28.3479,2.88 %,0,
11814.85,1476.86,10.8421,28.5634,2.68 %,0,
11675.02,1459.38,10.9709,27.2491,1.59 %,0,
11405.52,1425.69,11.1973,31.3901,2.08 %,0,
11385.01,1423.13,11.2341,27.2435,2.19 %,0,
11196.78,1399.60,11.4402,34.1765,2.03 %,0,
11128.83,1391.10,11.4854,29.6298,2.91 %,0,
10630.22,1328.78,12.0714,30.6672,3.45 %,0,
10556.67,1319.58,12.1188,28.8509,1.25 %,0,
10106.71,1263.34,12.6696,30.1390,2.13 %,0,
9798.58,1224.82,13.0373,35.1255,4.20 %,0,
9676.54,1209.57,13.2445,31.8580,3.77 %,0,
9579.75,1197.47,13.3458,32.4777,2.95 %,0,
9094.43,1136.80,14.0547,35.9503,2.25 %,0,
8739.05,1092.38,14.6431,37.2724,2.39 %,0,
8627.31,1078.41,14.8610,37.8506,3.14 %,0,
8520.91,1065.11,15.0276,39.7311,2.01 %,0,
7834.97,979.37,16.3192,37.4082,1.82 %,0,
8169.59,1021.20,15.6726,36.4915,1.54 %,0,
7895.71,986.96,16.1995,41.5708,1.55 %,0,
7766.99,970.87,16.4817,41.9304,1.29 %,0,
7826.55,978.32,16.3342,43.2989,3.00 %,0,
7602.00,950.25,16.8658,43.8394,2.57 %,0,
7586.22,948.28,16.8603,39.7273,1.28 %,0,
7656.39,957.05,16.6975,39.0286,1.87 %,0,
7677.96,959.74,16.6722,48.4245,3.17 %,0,
7385.92,923.24,17.3043,46.4529,2.22 %,0,
7579.74,947.47,16.9181,40.5201,3.23 %,0,
7699.80,962.48,16.6303,39.6662,3.65 %,0,
7675.24,959.40,16.6966,42.5285,3.34 %,0,
7645.55,955.69,16.7246,47.6919,2.48 %,0,
7849.74,981.22,16.2936,44.8122,2.29 %,0,
7849.24,981.16,16.3236,38.0891,2.54 %,0,
8159.83,1019.98,15.7013,41.2849,3.04 %,0,
8322.52,1040.31,15.3789,39.2608,3.63 %,0,
8626.78,1078.35,14.8390,37.0754,1.70 %,0,
8689.01,1086.13,14.7253,35.7571,2.90 %,0,
9199.54,1149.94,13.9277,38.5444,3.16 %,0,
9355.36,1169.42,13.6833,37.0220,3.66 %,0,
9650.90,1206.36,13.2588,33.3062,3.39 %,0,
9314.68,1164.34,13.7476,33.8506,2.78 %,0,
9620.17,1202.52,13.3044,33.0440,2.38 %,0,
9856.63,1232.08,12.9967,35.2840,4.21 %,0,
10143.57,1267.95,12.6070,30.4045,2.63 %,0,
10593.53,1324.19,12.0958,30.6103,1.16 %,0,
10397.47,1299.68,12.3028,31.5653,2.81 %,0,
10683.56,1335.44,11.9921,26.6206,1.50 %,0,
10936.26,1367.03,11.6974,29.5835,3.45 %,0,
10662.35,1332.79,11.9998,34.1611,3.40 %,0,
10886.08,1360.76,11.7719,32.4760,1.78 %,0,
